date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:08	5604/5604	---M--	200	added ('OK')	text/css	etag:%225af95f40-15e4%22	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/vendor/datatables.net-bs4/css/dataTables.bootstrap4.css	C:/Users/Amir/Documents/ramzan/admin%20panel/d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/vendor/datatables.net-bs4/css/dataTables.bootstrap4.css	(from https://demo.bootstrapious.com/admin-premium/1-4-3/tables-datatable.html)
11:22:09	3993/3993	---M--	200	added ('OK')	text/css	etag:%225af95f4b-f99%22	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/vendor/datatables.net-responsive-bs4/css/responsive.bootstrap4.min.css	C:/Users/Amir/Documents/ramzan/admin%20panel/d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/vendor/datatables.net-responsive-bs4/css/responsive.bootstrap4.min.css	(from https://demo.bootstrapious.com/admin-premium/1-4-3/tables-datatable.html)
11:22:10	4678/4678	---M--	200	added ('OK')	application/javascript	etag:%225af95f42-1246%22	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/vendor/datatables.net-bs4/js/dataTables.bootstrap4.js	C:/Users/Amir/Documents/ramzan/admin%20panel/d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/vendor/datatables.net-bs4/js/dataTables.bootstrap4.js	(from https://demo.bootstrapious.com/admin-premium/1-4-3/tables-datatable.html)
11:22:10	144766/144766	---M--	200	added ('OK')	image/png	etag:%225af95e37-2357e%22	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/img/template-mac.png	C:/Users/Amir/Documents/ramzan/admin%20panel/d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/img/template-mac.png	(from https://demo.bootstrapious.com/admin-premium/1-4-3/)
11:22:10	445792/445792	---M--	200	added ('OK')	application/javascript	etag:%225af95f3d-6cd60%22	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/vendor/datatables.net/js/jquery.dataTables.js	C:/Users/Amir/Documents/ramzan/admin%20panel/d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/vendor/datatables.net/js/jquery.dataTables.js	(from https://demo.bootstrapious.com/admin-premium/1-4-3/tables-datatable.html)
11:22:10	12721/12721	---M--	200	added ('OK')	application/javascript	etag:%225af95f47-31b1%22	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/vendor/datatables.net-responsive/js/dataTables.responsive.min.js	C:/Users/Amir/Documents/ramzan/admin%20panel/d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/vendor/datatables.net-responsive/js/dataTables.responsive.min.js	(from https://demo.bootstrapious.com/admin-premium/1-4-3/tables-datatable.html)
11:22:11	1244/1244	---M--	200	added ('OK')	application/javascript	etag:%225af95f4d-4dc%22	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/vendor/datatables.net-responsive-bs4/js/responsive.bootstrap4.min.js	C:/Users/Amir/Documents/ramzan/admin%20panel/d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/vendor/datatables.net-responsive-bs4/js/responsive.bootstrap4.min.js	(from https://demo.bootstrapious.com/admin-premium/1-4-3/tables-datatable.html)
11:22:11	184/184	---M--	200	added ('OK')	application/javascript	etag:%225af95e42-b8%22	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/js/tables-datatable.js	C:/Users/Amir/Documents/ramzan/admin%20panel/d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/js/tables-datatable.js	(from https://demo.bootstrapious.com/admin-premium/1-4-3/tables-datatable.html)
11:22:11	6357/6357	---M--	200	added ('OK')	application/javascript	etag:%225af95e3b-18d5%22	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/js/charts-custom.js	C:/Users/Amir/Documents/ramzan/admin%20panel/d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/js/charts-custom.js	(from https://demo.bootstrapious.com/admin-premium/1-4-3/charts.html)
11:22:12	18036/18036	---M--	200	added ('OK')	application/javascript	etag:%225af95ff1-4674%22	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/vendor/gaugeJS/gauge.min.js	C:/Users/Amir/Documents/ramzan/admin%20panel/d19m59y37dris4.cloudfront.net/admin-premium/1-4-3/vendor/gaugeJS/gauge.min.js	(from https://demo.bootstrapious.com/admin-premium/1-4-3/charts-gauge-sparkline.html)
